	s176	s184	s193	s237	s325	REF_GCF_000012825	REF_GCF_000178195	REF_GCF_000273295	REF_GCF_000403235	REF_GCF_000699705	REF_GCF_000699845	REF_GCF_000699865	REF_GCF_001404375	REF_GCF_001405155	REF_GCF_001406315	REF_GCF_001412315	REF_GCF_001640865	REF_GCF_900109635
g006405	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006406	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006407	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006408	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006409	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006410	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006411	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006412	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006413	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006414	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006415	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006416	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006417	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006418	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006419	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006420	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006421	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006422	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006423	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006424	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006425	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
g006426	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006427	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006428	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
g006429	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1
g006430	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006431	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006432	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006433	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006434	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006435	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006436	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006437	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006438	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006439	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006440	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006441	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006442	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006443	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006444	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006445	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006446	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006447	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006448	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006449	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006450	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006451	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006452	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006454	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006455	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006456	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006457	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006458	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006459	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006460	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006461	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006462	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006463	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006464	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006465	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006466	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006467	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006468	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006469	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006470	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006471	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006472	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006473	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006474	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006475	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006476	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006477	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006478	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006479	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006480	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006481	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006482	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006483	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006484	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006485	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006486	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006487	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006488	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006489	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006490	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006491	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006492	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006493	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006494	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006495	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006496	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006497	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006498	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006499	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006500	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006501	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006502	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006503	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006504	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006505	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006506	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
g006507	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006508	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006509	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006510	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006511	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006512	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006513	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
g006514	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006515	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006516	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006517	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006518	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006519	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006520	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006521	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006522	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006523	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
g006524	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006525	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006526	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
g006527	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0
g006528	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
g006529	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006530	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006531	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
g006532	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
g006533	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006534	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006535	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006536	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006537	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006538	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006539	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
g006540	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
g006541	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
g006542	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1
g006543	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1
g006544	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1
g006545	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006546	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006547	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006548	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006549	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006550	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g006551	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
g006552	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g006553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006555	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1
g006556	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1
g006557	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006558	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0
g006559	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0
g006560	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006561	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
g006562	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006563	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006564	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006565	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006566	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006567	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006568	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006569	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006570	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006573	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1
g006574	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0
g006575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006576	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g006577	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006578	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006579	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006580	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006581	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g006582	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006583	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006584	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006586	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006587	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
g006588	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006590	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006591	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0
g006592	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006593	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006594	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006598	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1
g006599	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006601	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006602	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1
g006603	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006604	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006605	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006606	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0
g006607	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006608	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006610	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006611	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006613	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g006614	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006615	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0
g006616	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
g006617	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0
g006618	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0
g006619	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0
g006620	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0
g006621	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1
g006622	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0
g006623	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g006624	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0
g006625	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006626	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006627	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0
g006628	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006629	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g006630	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006631	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006632	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006633	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006634	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006635	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006636	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1
g006637	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006638	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006639	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006640	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006641	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
g006642	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1
g006643	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006644	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006645	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006646	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006647	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006648	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g006649	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g006650	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006651	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
g006652	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
g006653	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0
g006654	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
g006655	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006656	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006657	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006658	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006659	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006660	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006661	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006662	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006663	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006664	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006665	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
g006666	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006667	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006668	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006669	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006670	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g006671	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g006672	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006673	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006674	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006675	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006676	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006677	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006678	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006679	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006680	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006681	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006682	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006683	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006684	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006685	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006686	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006687	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006688	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006689	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006690	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006691	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006692	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006693	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006694	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006695	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006696	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006697	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006698	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006699	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006700	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006701	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006702	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006703	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006704	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006705	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006706	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006708	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006709	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006710	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006711	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006712	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006713	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006714	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006715	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006716	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006717	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006718	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006719	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006720	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006721	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006722	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006723	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006724	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006725	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006726	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006727	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006728	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006729	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006730	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006731	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006732	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006733	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006734	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006735	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006736	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006737	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006738	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006739	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g006740	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006741	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006742	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006743	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006744	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006745	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006746	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006747	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006748	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006749	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
g006750	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
